Complaint,Tags
"I have reached out to the company. However, they never responded. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Sun Trust '' on XX/XX/2014 via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 

Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. 
","identity, theft, fraud, unauthorized, inquiry"
"I have submitted XXXX disputes to Trans Union credit bureau regarding incorrect payment history for an account on my report - XXXX XXXX. The payment history reflects multiple late payments when in fact the account was paid in a timely manner. I have also contacted the creditor but no answer has been given after numerous attempts. I am not sure what else to do given the attempts and lack of proper response from the credit bureau. 
","incorrect, late, payment, history"
"I have submitted XXXX disputes to Trans Union credit bureau regarding incorrect payment history for an account on my report - XXXX. The payment history reflects multiple late payments when in fact the account was paid in a timely manner. I have also contacted the creditor but no answer has been given after numerous attempts. I am not sure what else to do given the attempts and lack of proper response from the credit bureau. 
","incorrect, late, payment, history"
"I have submitted several disputes to Trans Union credit bureau regarding incorrect information regarding a collection item on my report - XXXX. This is NOT my account. I have been insured with XXXX for over 6 years. I have also contacted the creditor but no answer has been given after numerous attempts. I am not sure what else to do given the attempts and lack of proper response from the credit bureau. 
","incorrect, information, credit, report"
"XXXX XXXX SrXXXX XXXX XXXX XXXX, Ca XXXX XXXX ACQUISITIONS INCATT : XXXX XXXX XXXX XXXX CA XXXXXXXX XXXXXXXX XXXX CA XXXXRe : Account NumberTo Whom It May ConcernI am sending this letter to you in response to notice I received from you on XXXX XXXX, 2014. Be advised, this is not a refusal to pay, but a notice sent pursuant to the Fair Debt Collection Practices Act, 15 USC 169g2 Sec. 809 ( b ) that your claim is disputed and Validation is requested. 

This is NOT a request for "" Validation '' or proof of my mailing address, but a request for VALIDATION made pursuant to the above named Title and Section. I respectfully request that your office provide me with competent evidence that I have any legal obligation to pay you. 

Please provide me with the following : What the money you say I owe is for ; Explain and show me how you calculated what you say I owe ; Provide me with copies of any papers that show I agree to pay what you say I owe ; Provide a validation or copy of any judgment if applicable ; Identify the original creditor Prove the statute of Limitations has not expired on this account ; Show me that you are licensed to collect in my state ; and Provide me with your license numbers and Registered Agent. 
If your office have reported invalidated information to any of the XXXX major Credit Bureau 's ( XXXX, XXXX or Trans Union ), said action might constitute fraud under both Federal and State Laws. Due to this fact, If any negative mark is found on any of my credit reports by you company or the company that represent I will not hesitate bringing legal action against you for the following : Violation of the Fair Credit reporting Act Violation of Fair Debt Collection Practices Act Defamation of CharacterIf your offices are able to provide the proper documentation as requested, I will require at least 30 day to investigate this information and during such time all collection activity must cease and desist. 
XXXX of XXXXAlso during this are validation period, if any action is taken which could be considered detrimental to any my credit reports, I will consult with my legal counsel. This includes any information to a credit reporting repository that could be inaccurate or invalidated verifying and account as account as when in fact there is no provided proof that it is. 
If your offices fail to respond to this validation request 30 days from the date of your receipt, all references to this account must deleted and completely removed from my credit file and a copy of such deletion request shall be sent to immediately. 
I would also like to request, in writing, that no telephone contact be made by your offices to my home or my place of employment. If your offices attempt telephone communication with my, including but not limited to computer generated calls or correspondence sent to any third parties, it will be considered harassment and I will have no choice but to file suit, All future communication with me MUST be done in writing and send to the address noted in this letter. ","evidence, invalid, information, credit, report"
"Reached out to them however, never got a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Flagship Credit '' on XXXX via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 

Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. 
","identity, theft, fraud, debt, collection"
"there is a XXXX XXXX account on my credit report that does not belong to me. I have attem have attempted to dispute several times to no avail. 
","credit, report, account, not, belong"
"I am unable to obtain my experian credit report on line. I am also unable to access my free anual credit report online . I was told the size of the report is causing this and may be related to the number of soft inquiries generated by reviewing my own report. As I had previously been a victim of Identity Theft, I checked my report almost daily for new/unauthorized inquiries or accounts appearing. That is why online access is so important to me. Now, apparently the file size will not allow online access and I must mail in a form to get a copy of my report. For someone who is monitoring their credit for identity theft in the event someone attempts to open an account in my name, I need to be able to access my credit information without waiting two weeks for XXXX in the mail. 
","unable, access, credit, report, online"
"I sent a letter regarding the matter however, no response from the company. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" WFDS d/b/a Wells Fargo Dealer Service '' on XXXX via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 
","identity, theft, fraud, item, credit, report"
"there is a XXXX BP account on my credit report that does not belong to me. I  have attempted to dispute several times to no avail. 
","credit, report, account, not, belong"
"Sent a letter and got no response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Global Lending '' on XXXX via USPS certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. ","identity, theft, fraud, item, credit, report"
"I sent out XXXX separate letters to XXXX ( XXXX ) separate addresses listed on my report and did not get a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Capital One Auto Finance d/b/a COAF '' on XXXX via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 

Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. 
","identity, theft, fraud, item, credit, report"
"Sent a few letter to different addresses listed for the company and never got any response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" JPM Chase d/b/a JP Morgan Chase '' on XX/XX/2014 via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 

Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. 
","identity, theft, fraud, item, credit, report"
"I have been receiving repeated calls from a private number at work. When I answered the individual informed me they were from World Wide Assets and this was an attempt to collect a debt. I then informed him that I was at work and could n't receive personal calls at my work number and asked that all calls stop and I hung up. He then called right back and I reiterate that I could not have personal calls at work and hung up again. 
","repeated, call, attempt, collect, debt"
"I have attempted to get this inaccurate judgment removed from my Equifax and XXXX credit reports for months. They keep referring me back to the courthouse and when I contact the courthouse, they are indicating that they did not report nor do they do any reporting to the credit bureaus, so they can't help me. 

The staff at the courthouse also provided the above information in writing. After submitting it to XXXX and Equifax, they still refuse to remove this inaccurate information from my credit report. 
","refuse, remove, inaccurate, judgment, credit, report"
"I sent letter to both addresses listed on credit file and got a response that asked me to fill out FTC report. However, I did this already with FTC and it does not apply to this company. The account was removed but the inquires are still listed on my report and it is hurting my credit. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" XXXX Name '' on XXXX via XXXX certified mail & again XXXX. The company refuses to honor my rights under the XXXX as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 

Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. 
","report, list, removed, account, hurt, credit"
"The option I needed under false statements or representation was not available, but to summarize my complaint, real time resolutions is representing themselves as a mortgage company rather than a debt collection agency on my credit reports with XXXX and XXXX. 

I have a verbal recording that was consented to by them on yesterday XXXX/XXXX/XXXX between XXXX RTR employees, myself, my husband and out financial advisor where they admitted to being a debt collection agency not a mortgage company as they are illegally reporting on my credit report. I have attempted to settle the debt immediately with them if the account classification is corrected but the refuse repeatedly stating that even if I pay them in full they will leave the account on my record incorrectly. 

The property in question was a home I purchased alone in XXXX that became a rental property when my husband and I purchased another home in XXXX. The home was lost due to an illegal foreclosure by XXXX or XXXX as its now known. I attempted to rectify this situation, as my tenant and the XXXX Housing Authority failed to make timely or payments at all in some instances but my only resolve has been the receipt of an {$1100.00} settlement check from a national Class action lawsuit, naming XXXX at fault for the wrongful/Illegal foreclosure. 

As stated before if the only resolve short of litigation is to pay the debt, I have no problem making a settlement to rectify the situation if that is whats necessary to satisfy the XXXX mortgage, but it just does n't seem right that my home was illegally taken, a settlement was paid to me to provide some compensation to my family and now we are again having our credit damaged due to something beyond our control as the collection did not take place right away but approximately 3 years later and because its being reported incorrectly as a mortgage account not a collection account, legally my family is unable to purchase a new home due to the new mortgage laws. Had we known this was a possibility, we never would have sold our last home in XXXX XXXX. Therefore my husband, myself and XXXX children are displaced due to their false representation. 

We have attempted contacting the credit bureaus as well and have been unsuccessful. 
","false, representation, mortgage, company, credit, report"
"Due to financial hardship, I have been unable to pay on XXXX of my student loans. I have been struggling for months and have contacted the lender via email and written letters. The only response I receive is that I must contact via phone between certain hours. I have told them multiple times that is impossible due to my work schedule. They have written and offered to settle or make arrangements and when I write them back they always state they can not help unless I CALL them. It 's as if they are purposefully contributing to the default my account has now entered. They last letter I received states that default will occur on XXXX XXXX, if I do not contact them. I checked my credit report and they had already reported default and placed with a collection agency ( 2 weeks prior to their date ). I emailed them regarding the situation and still they will not discuss anything in writing ONLY by phone. This makes no sense to me. 
I can not consolidate the loan to another lender now that this situation has caused my credit report to go from XXXX to XXXX!!!! 
What can I do? 
","unable, pay, loan, financial, hardship"
"I paid the debt in full in XX/XX/2008 and received a notarized letter from them stating that this debt was paid in full and that I no longer owed them any money. They contacted me a little over a year ago regarding this. I called and spoke with someone who had me fax over the paperwork that I have showing that it was paid in full. I called again to confirm that he received it and he said that he did and that everything looked to be in order. He said that if he had any other questions that he would call me back. I never heard from them again until just recently when they sent me the same paperwork again. I paid this debt off 7 years ago. 
","send, paperwork, again, paid, debt,"
"Incorrect information is being reported by the credit bureau 's. My identity was stolen. 
","identity, theft, incorrect, information, report, credit"
"I have a private loan with Sallie Mae. I called them to try to get them to lower my payment or interest rate due to my income. I have XXXX children and only made a small on my taxes last year I need help with my payment or it will ruin my credit. They REFUSED to help me at all. 
I am VERY unhappy. 
","lower, payment, interest, refuse, help"
"My letter to MCM - Midland Credit Management , Inc. : MCM - Midland Credit Management , Inc. XX/XX/XXXXTo whom it may concern, I have been receiving these types of letters since last year XX/XX/XXXX. I have also spoken to XXXX different representatives on your end in regards to this. The XXXX times that I have called XXXX representatives were unable to provide information but the following:1. The account was opened in XX/XX/XXXX ( I was only XXXX ). 
2. The account name is "" Structure ''. ( What is "" Structure ''? NOBODY can explain to me what "" Structure '' is? ). 

My thoughts, concerns and question is WHY after 11 years was this being brought to my attention in XX/XX/XXXX? Why can't anyone from MCM tell me what this account/credit/ '' Structure '' was for/is? 
I have XXXX DEBT under my name. I have ran my credit reports yearly and most recently back in XX/XX/XXXX and have never seen any of this? 

If MCM and nobody on the business end can provide me with any of the following information to explain to me who, what, when this account was and what it was? I wish that MCM make no more contact or communication with me and wish to please be forgiven of this mysterious "" debt '' I owe in the amount of {$990.00}. I have done all that I can do by receiving these letters, following up with MCM and I get the same run around with no answers to my questions and especially this "" debt '' going on 11 years now. 

Again I am asking you to please forgive me of the above debt. This has been a hassle for the last year on my end. Nobody can provide me with any type of paperwork, documentation, signature or what "" Structure '' is? 

Until further notice please do not contact me via mail or phone. 

I thank you kindly for your time and patience in regards to receiving and reading this letter! 
","unknown, debt, account, no, paperwork"
"I 'm receiving calls from a company who will not give me their name threatening to have my license suspended over a payday loan that I have no recollection of. They are also threatening to have warrants issued against me. Not only will they not tell me their company name, but they will not provide any documentation about the supposed loan. 
","threat, call, payday, loan"
"I was behind on my loans, and I called about two months ago to get set up on a payment plan. They continue to harass and make threatening phone calls after I have made XXXX consecutive payments. I have asked them MULTIPLE times to stop calling and they always blame the issue on "" system error ''. I am at the end of my rope and I do not know what else to do!! 
","threat, call, blame, system, error"
"My husband lost his job in XX/XX/XXXX and was unemployed for almost XXXX months. He has recently started a new job with XXXX and we are getting our finances back on track. However, by the end of XXXX, I struggled to keep up with the payments and my student loans became dangerously past due. On or around XX/XX/XXXX, I arranged a {$250.00} student loan payment on line. I did not realize until it was too late that I had forgotten to change my banking information and the payment was rejected by my bank. ( I have since cleared this up. ) I called AES to discuss further options. On XX/XX/XXXX, I was told by a representative that I qualified for XXXX-day forbearance. When we discussed the unfortunate payment error, she said, "" do not worry about it , the forbearance period would cover the non-payment. On XX/XX/XXXX, my credit bureau monitoring service notified me that my credit score had dropped by over XXXX points due to a XXXX-day late payment reported by AES. This was AFTER I was assured that I qualified for the forbearance. 

When I called AES to inquire about this, I was told that credit reporting operated on a separate system and that credit reporting was "" automatic, '' but that he would note the situation in my file. All of the representatives have been very pleasant and helpful. However, as I explained to XXXX of the representatives, I am a consumer. When a representative tells me "" not to worry about a payment issue, '' I listen. My husband and I are XXXX veterans and have to commute 2 hours to work every day. We are responsible and have not missed a student loan payment in several years. We need to buy a home closer to our work. 

The problem is this. The loans with AES are a consolidated debt of XXXX different loans. When the loans were reported to credit bureau as XXXX days late, my credit scores dropped almost XXXX points for EACH LOAN. That 's approximately XXXX points!!! This is neither fair nor accurate. When payments are made, amounts are applied to each individual loan. The way this is set up, even if XXXX of the XXXX loans is late, ALL XXXX report late. No credit report can sustain and instant XXXX point drop in credit score over something this confusing. 

Like I stated earlier, I am a veteran and a responsible citizen. I struggled to pay the loans on time for the entire XXXX months my husband was out of work. It is not fair that I should have to suffer the insult of a XXXX day late payment due to misinformation that I was given. If I am late making payments due to neglect, then I would feel like I have earned this discredit. However, I was acting on information supplied to me by a company representative. I followed their rules. Therefore, I respectfully ask that the XXXX day late be removed from all XXXX credit bureaus so that we can move on with our lives. 
","forbearance, period, credit, score, drop"
"I have sent a letter to them regarding the matter. However, no one sent a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" AFS Acceptance, LLC. '' on XX/XX/2014 via USPS certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. 

Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. 
","identity, theft, fraud, item, credit, report"
"I have paid all copays and just rec 'd a bill from a collection agency. I have never rec 'd anything in the mail before on this. I called the Dr offfice and they say it was because visits that are being billed didnt have a referral but I always had a referral and if they told me that I would have gotten XXXX. I have attached proof that my primary care physician did send referrals. I feel as though this is some sort of way for them to bill people almost 5 years later knowing they will pay or it will kill their credit. I am in the XXXX and will be forced to pay something that is not accurate almost 5 years after the services. 
","primary care physician, referral, send, not, accurate, bill"
"This debt collector has called me numerous times from a private number, contacts every single member of my family numerous times, and has called me at work. They even called my oldest daughters boyfriend, who has never been affiliated with me, on a phone number he just received 3 days ago. I have told them to not call me again, I do not owe this debt and the calls keep coming. They are now stating that they have a case against me and they want my home or work address so they can serve me papers. I want this to stop. 
","debt, collector, threat, call, debt, not, owe"
"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company! 

THIS IS NOT MY DEBT! 

I WANT THIS ACCOUNT REMOVED FROM MY CREDIT REPORT AND THIS COMPANY TO STOP CONTACTING ME IMMEDIATELY! 
","continue, report, debt, not, mine"
"I received a court XXXX for a XXXX bill from XXXX years ago from a debt collection agency. I called immediately to ask what it 's from and they would n't give any information and said I can pay XXXX of it to settle it but that the legal process would n't stop. I asked how much half would be and they said XXXX, but the amount of suit on the summons is listed as XXXX. I hung up and called again and was given different information. I was told I could make a payment of {$400.00} and monthly installments and it would halt the legal process. I do n't know what this debt is for or how much I actually owe and I 'm getting different information from different people. When I said I was unemployed they just sat on the phone in silence. 
","halt, legal, process, not know, debt"
"I requested my credit score and paid a special reduced fee for providing the score from Experian. Later, when I found out they had charged me {$21.00} in addition to the {$1.00}, I called them to cancel the charge and the account they said I had opened. Their representatives made me wait a long time on the phone before I could even talk to someone, and even then I found no legitimate reason for the charge. They said it was for a monthly membership but I told them I was not interested in this service. But they said I could not cancel it even though it was the XXXX day of the month-long "" service. '' I have no idea what service they are providing and would like my money back. 
","monthly, membership, not, cancel, charged,"
"I had originally attended XXXX XXXX located in XXXX XXXX XXXX XXXX XXXX, FL XXXX in XX/XX/XXXX of XX/XX/2010, with the intention of pursuing an XXXX in XXXX XXXX, however the program itself was over {$32000.00} i had ended up finishing my degree owing more then {$56000.00} worth of loan of course including the combination of federal and private loans. Currently I am making my payments towards a lending service called Genesis lending of which i owe more than {$12000.00}. Unfortunately my current financial situation is not the best and to make monthly payments is almost difficult. They had promised me a career in Major and the only thing that they were able to give me was a part-time job as a XXXX. In my honest I feel that what that school had to me and many others like me was a great in justice. and now in order for me to continue my education I would have to pay for it out of pocket without any assistance, and to be frank there is no greater tragedy especially for someone of my age who has his whole life ahead of him. 
","difficult, monthly, payment, lending, service"
"i attempted to obtain a free annual credit report from the XXXX reporting services via the website : XXXX. No problem with XXXX. XXXX required a written application be mailed to them and Transunion steered me to a new page or website where I was not allowed to proceed without subscribing to a service which required me to pay an initial fee of {$1.00} for the report ( {$0.00} for my "" score '' ) and further agreeing to and paying a recurring charge of approximately {$18.00}. It is my belief that I am entitled under the law to a FREE credit report. why is TransUnion being permitted to violate the law with this deceptive practice? Please remedy this violation and require them to send me a free credit report as soon as possible. 
","free, annual, credit, report, subscribe"
"SOMEONE USE MY INFORMATION. THIS ISNT MY ACCOUNT. 
","account, not, mine, using, information"
